# Sample login credentials for Module_B/sql/sample_data.sql
# All seeded sample users share the same plaintext password.
# Format: email,password

rahul.sharma@iitgn.ac.in,password123
priya.patel@iitgn.ac.in,password123
amit.kumar@iitgn.ac.in,password123
sneha.gupta@iitgn.ac.in,password123
arjun.reddy@iitgn.ac.in,password123
ananya.singh@iitgn.ac.in,password123
vikram.joshi@iitgn.ac.in,password123
meera.shah@iitgn.ac.in,password123
karan.malhotra@iitgn.ac.in,password123
neha.desai@iitgn.ac.in,password123
rohan.kapoor@iitgn.ac.in,password123
ishita.agarwal@iitgn.ac.in,password123
aditya.verma@iitgn.ac.in,password123
pooja.rao@iitgn.ac.in,password123
siddharth.mishra@iitgn.ac.in,password123
divya.nair@iitgn.ac.in,password123
abhishek.pandey@iitgn.ac.in,password123
sakshi.jain@iitgn.ac.in,password123
varun.saxena@iitgn.ac.in,password123
kavya.krishnan@iitgn.ac.in,password123
